ensembl_gene_id	external_gene_name	external_gene_name.1	description	biotype
ENSG00000007168	PAFAH1B1	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	Gene
ENSG00000007255	TRAPPC6A	TRAPPC6A	trafficking protein particle complex subunit 6A [Source:HGNC Symbol;Acc:HGNC:23069]	Gene
ENSG00000007312	CD79B	CD79B	CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]	Gene
ENSG00000007541	PIGQ	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]	Gene
ENSG00000007952	NOX1	NOX1	NADPH oxidase 1 [Source:HGNC Symbol;Acc:HGNC:7889]	Gene
ENSG00000007968	E2F2	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	TF
ENSG00000008018	PSMB1	PSMB1	proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]	Gene
ENSG00000008056	SYN1	SYN1	synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]	Gene
ENSG00000008083	JARID2	JARID2	jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]	Gene
ENSG00000008256	CYTH3	CYTH3	cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]	Gene
ENSG00000008277	ADAM22	ADAM22	ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:HGNC:201]	Gene
ENSG00000008405	CRY1	CRY1	cryptochrome circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:2384]	Gene
ENSG00000008517	IL32	IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]	Gene
ENSG00000008735	MAPK8IP2	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]	Gene
ENSG00000008838	MED24	MED24	mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]	Gene
ENSG00000008869	HEATR5B	HEATR5B	HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273]	Gene
ENSG00000008952	SEC62	SEC62	SEC62 homolog, preprotein translocation factor [Source:HGNC Symbol;Acc:HGNC:11846]	Gene
ENSG00000008988	RPS20	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	Gene
ENSG00000009307	CSDE1	CSDE1	cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]	Gene
ENSG00000009413	REV3L	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]	Gene
ENSG00000009724	MASP2	MASP2	MBL associated serine protease 2 [Source:HGNC Symbol;Acc:HGNC:6902]	Gene
ENSG00000009790	TRAF3IP3	TRAF3IP3	TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:30766]	Gene
ENSG00000009830	POMT2	POMT2	protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]	Gene
ENSG00000009950	MLXIPL	MLXIPL	MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744]	TF
ENSG00000010017	RANBP9	RANBP9	RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]	Gene
ENSG00000010219	DYRK4	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4 [Source:HGNC Symbol;Acc:HGNC:3095]	Gene
ENSG00000010292	NCAPD2	NCAPD2	non-SMC condensin I complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305]	Gene
ENSG00000010361	FUZ	FUZ	fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]	Gene
ENSG00000010803	SCMH1	SCMH1	Scm polycomb group protein homolog 1 [Source:HGNC Symbol;Acc:HGNC:19003]	Gene
ENSG00000010810	FYN	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	Gene
ENSG00000011007	ELOA	ELOA	elongin A [Source:HGNC Symbol;Acc:HGNC:11620]	Gene
ENSG00000011132	APBA3	APBA3	amyloid beta precursor protein binding family A member 3 [Source:HGNC Symbol;Acc:HGNC:580]	Gene
ENSG00000011201	ANOS1	ANOS1	anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]	Gene
ENSG00000011304	PTBP1	PTBP1	polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583]	Gene
ENSG00000011332	DPF1	DPF1	double PHD fingers 1 [Source:HGNC Symbol;Acc:HGNC:20225]	Gene
ENSG00000011422	PLAUR	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	Gene
ENSG00000011451	WIZ	WIZ	WIZ zinc finger [Source:HGNC Symbol;Acc:HGNC:30917]	TF
ENSG00000011454	RABGAP1	RABGAP1	RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]	Gene
ENSG00000011465	DCN	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	Gene
ENSG00000011566	MAP4K3	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]	Gene
ENSG00000011600	TYROBP	TYROBP	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	Gene
ENSG00000011638	LDAF1	LDAF1	lipid droplet assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30136]	Gene
ENSG00000012048	BRCA1	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	Gene
ENSG00000012061	ERCC1	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	Gene
ENSG00000013275	PSMC4	PSMC4	proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]	Gene
ENSG00000013297	CLDN11	CLDN11	claudin 11 [Source:HGNC Symbol;Acc:HGNC:8514]	Gene
ENSG00000013503	POLR3B	POLR3B	RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]	Gene
ENSG00000013523	ANGEL1	ANGEL1	angel homolog 1 [Source:HGNC Symbol;Acc:HGNC:19961]	Gene
ENSG00000013725	CD6	CD6	CD6 molecule [Source:HGNC Symbol;Acc:HGNC:1691]	Gene
ENSG00000013810	TACC3	TACC3	transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]	Gene
ENSG00000014123	UFL1	UFL1	UFM1 specific ligase 1 [Source:HGNC Symbol;Acc:HGNC:23039]	Gene
ENSG00000014138	POLA2	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	Gene
ENSG00000014216	CAPN1	CAPN1	calpain 1 [Source:HGNC Symbol;Acc:HGNC:1476]	Gene
ENSG00000015153	YAF2	YAF2	YY1 associated factor 2 [Source:HGNC Symbol;Acc:HGNC:17363]	Gene
ENSG00000015475	BID	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	Gene
ENSG00000016082	ISL1	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	TF
ENSG00000016391	CHDH	CHDH	choline dehydrogenase [Source:HGNC Symbol;Acc:HGNC:24288]	Gene
ENSG00000016402	IL20RA	IL20RA	interleukin 20 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6003]	Gene
ENSG00000017427	IGF1	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	Gene
ENSG00000017797	RALBP1	RALBP1	ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]	Gene
ENSG00000018408	WWTR1	WWTR1	WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042]	Gene
ENSG00000019169	MARCO	MARCO	macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:HGNC:6895]	Gene
ENSG00000019582	CD74	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	Gene
ENSG00000020426	MNAT1	MNAT1	MNAT1 component of CDK activating kinase [Source:HGNC Symbol;Acc:HGNC:7181]	Gene
ENSG00000020922	MRE11	MRE11	MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]	Gene
ENSG00000021574	SPAST	SPAST	spastin [Source:HGNC Symbol;Acc:HGNC:11233]	Gene
ENSG00000021776	AQR	AQR	aquarius intron-binding spliceosomal factor [Source:HGNC Symbol;Acc:HGNC:29513]	Gene
ENSG00000021852	C8B	C8B	complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]	Gene
ENSG00000022840	RNF10	RNF10	ring finger protein 10 [Source:HGNC Symbol;Acc:HGNC:10055]	Gene
ENSG00000023228	NDUFS1	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	Gene
ENSG00000023330	ALAS1	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	Gene
ENSG00000023516	AKAP11	AKAP11	A-kinase anchoring protein 11 [Source:HGNC Symbol;Acc:HGNC:369]	Gene
ENSG00000023608	SNAPC1	SNAPC1	small nuclear RNA activating complex polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:11134]	Gene
ENSG00000023697	DERA	DERA	deoxyribose-phosphate aldolase [Source:HGNC Symbol;Acc:HGNC:24269]	Gene
ENSG00000023734	STRAP	STRAP	serine/threonine kinase receptor associated protein [Source:HGNC Symbol;Acc:HGNC:30796]	Gene
ENSG00000023902	PLEKHO1	PLEKHO1	pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310]	Gene
ENSG00000023909	GCLM	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]	Gene
ENSG00000025039	RRAGD	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	Gene
ENSG00000025156	HSF2	HSF2	heat shock transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:5225]	TF
ENSG00000025293	PHF20	PHF20	PHD finger protein 20 [Source:HGNC Symbol;Acc:HGNC:16098]	Gene
ENSG00000025434	NR1H3	NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	TF
ENSG00000025770	NCAPH2	NCAPH2	non-SMC condensin II complex subunit H2 [Source:HGNC Symbol;Acc:HGNC:25071]	Gene
ENSG00000025772	TOMM34	TOMM34	translocase of outer mitochondrial membrane 34 [Source:HGNC Symbol;Acc:HGNC:15746]	Gene
ENSG00000025796	SEC63	SEC63	SEC63 homolog, protein translocation regulator [Source:HGNC Symbol;Acc:HGNC:21082]	Gene
ENSG00000026103	FAS	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	Gene
ENSG00000026950	BTN3A1	BTN3A1	butyrophilin subfamily 3 member A1 [Source:HGNC Symbol;Acc:HGNC:1138]	Gene
ENSG00000028116	VRK2	VRK2	VRK serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]	Gene
ENSG00000028203	VEZT	VEZT	vezatin, adherens junctions transmembrane protein [Source:HGNC Symbol;Acc:HGNC:18258]	Gene
ENSG00000028310	BRD9	BRD9	bromodomain containing 9 [Source:HGNC Symbol;Acc:HGNC:25818]	Gene
ENSG00000028528	SNX1	SNX1	sorting nexin 1 [Source:HGNC Symbol;Acc:HGNC:11172]	Gene
ENSG00000028839	TBPL1	TBPL1	TATA-box binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:11589]	Gene
ENSG00000029363	BCLAF1	BCLAF1	BCL2 associated transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16863]	Gene
ENSG00000029725	RABEP1	RABEP1	rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]	Gene
ENSG00000030066	NUP160	NUP160	nucleoporin 160 [Source:HGNC Symbol;Acc:HGNC:18017]	Gene
ENSG00000030110	BAK1	BAK1	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	Gene
ENSG00000031691	CENPQ	CENPQ	centromere protein Q [Source:HGNC Symbol;Acc:HGNC:21347]	Gene
ENSG00000032219	ARID4A	ARID4A	AT-rich interaction domain 4A [Source:HGNC Symbol;Acc:HGNC:9885]	Gene
ENSG00000032389	EIPR1	EIPR1	EARP complex and GARP complex interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:12383]	Gene
ENSG00000033122	LRRC7	LRRC7	leucine rich repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:18531]	Gene
ENSG00000033627	ATP6V0A1	ATP6V0A1	ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]	Gene
ENSG00000034053	APBA2	APBA2	amyloid beta precursor protein binding family A member 2 [Source:HGNC Symbol;Acc:HGNC:579]	Gene
ENSG00000034152	MAP2K3	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	Gene
ENSG00000034510	TMSB10	TMSB10	thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]	Gene
ENSG00000034693	PEX3	PEX3	peroxisomal biogenesis factor 3 [Source:HGNC Symbol;Acc:HGNC:8858]	Gene
ENSG00000035681	NSMAF	NSMAF	neutral sphingomyelinase activation associated factor [Source:HGNC Symbol;Acc:HGNC:8017]	Gene
ENSG00000035687	ADSS2	ADSS2	adenylosuccinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:292]	Gene
ENSG00000035720	STAP1	STAP1	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	Gene
ENSG00000035928	RFC1	RFC1	replication factor C subunit 1 [Source:HGNC Symbol;Acc:HGNC:9969]	Gene
ENSG00000036054	TBC1D23	TBC1D23	TBC1 domain family member 23 [Source:HGNC Symbol;Acc:HGNC:25622]	Gene
ENSG00000036257	CUL3	CUL3	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]	Gene
ENSG00000036549	ZZZ3	ZZZ3	zinc finger ZZ-type containing 3 [Source:HGNC Symbol;Acc:HGNC:24523]	Gene
ENSG00000037042	TUBG2	TUBG2	tubulin gamma 2 [Source:HGNC Symbol;Acc:HGNC:12419]	Gene
ENSG00000037241	RPL26L1	RPL26L1	ribosomal protein L26 like 1 [Source:HGNC Symbol;Acc:HGNC:17050]	Gene
ENSG00000037637	FBXO42	FBXO42	F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]	Gene
ENSG00000037897	METTL1	METTL1	methyltransferase 1, tRNA methylguanosine [Source:HGNC Symbol;Acc:HGNC:7030]	Gene
ENSG00000038219	BOD1L1	BOD1L1	biorientation of chromosomes in cell division 1 like 1 [Source:HGNC Symbol;Acc:HGNC:31792]	Gene
ENSG00000038274	MAT2B	MAT2B	methionine adenosyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:6905]	Gene
ENSG00000038358	EDC4	EDC4	enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]	Gene
ENSG00000038427	VCAN	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	Gene
ENSG00000039123	MTREX	MTREX	Mtr4 exosome RNA helicase [Source:HGNC Symbol;Acc:HGNC:18734]	Gene
ENSG00000039650	PNKP	PNKP	polynucleotide kinase 3'-phosphatase [Source:HGNC Symbol;Acc:HGNC:9154]	Gene
ENSG00000040199	PHLPP2	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:29149]	Gene
ENSG00000040608	RTN4R	RTN4R	reticulon 4 receptor [Source:HGNC Symbol;Acc:HGNC:18601]	Gene
ENSG00000040633	PHF23	PHF23	PHD finger protein 23 [Source:HGNC Symbol;Acc:HGNC:28428]	Gene
ENSG00000040933	INPP4A	INPP4A	inositol polyphosphate-4-phosphatase type I A [Source:HGNC Symbol;Acc:HGNC:6074]	Gene
ENSG00000041353	RAB27B	RAB27B	RAB27B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9767]	Gene
ENSG00000041357	PSMA4	PSMA4	proteasome 20S subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:9533]	Gene
ENSG00000042088	TDP1	TDP1	tyrosyl-DNA phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:18884]	Gene
ENSG00000042429	MED17	MED17	mediator complex subunit 17 [Source:HGNC Symbol;Acc:HGNC:2375]	Gene
ENSG00000042753	AP2S1	AP2S1	adaptor related protein complex 2 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:565]	Gene
ENSG00000042813	ZPBP	ZPBP	zona pellucida binding protein [Source:HGNC Symbol;Acc:HGNC:15662]	Gene
ENSG00000043143	JADE2	JADE2	jade family PHD finger 2 [Source:HGNC Symbol;Acc:HGNC:22984]	Gene
ENSG00000043462	LCP2	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	Gene
ENSG00000044012	GUCA2B	GUCA2B	guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683]	Gene
ENSG00000044115	CTNNA1	CTNNA1	catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]	Gene
ENSG00000044446	PHKA2	PHKA2	phosphorylase kinase regulatory subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8926]	Gene
ENSG00000044574	HSPA5	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	Gene
ENSG00000046647	GEMIN8	GEMIN8	gem nuclear organelle associated protein 8 [Source:HGNC Symbol;Acc:HGNC:26044]	Gene
ENSG00000046774	MAGEC2	MAGEC2	MAGE family member C2 [Source:HGNC Symbol;Acc:HGNC:13574]	Gene
ENSG00000047056	WDR37	WDR37	WD repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:31406]	Gene
ENSG00000047249	ATP6V1H	ATP6V1H	ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303]	Gene
ENSG00000047315	POLR2B	POLR2B	RNA polymerase II subunit B [Source:HGNC Symbol;Acc:HGNC:9188]	Gene
ENSG00000047579	DTNBP1	DTNBP1	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	Gene
ENSG00000047932	GOPC	GOPC	golgi associated PDZ and coiled-coil motif containing [Source:HGNC Symbol;Acc:HGNC:17643]	Gene
ENSG00000048028	USP28	USP28	ubiquitin specific peptidase 28 [Source:HGNC Symbol;Acc:HGNC:12625]	Gene
ENSG00000048392	RRM2B	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B [Source:HGNC Symbol;Acc:HGNC:17296]	Gene
ENSG00000048462	TNFRSF17	TNFRSF17	TNF receptor superfamily member 17 [Source:HGNC Symbol;Acc:HGNC:11913]	Gene
ENSG00000048545	GUCA1A	GUCA1A	guanylate cyclase activator 1A [Source:HGNC Symbol;Acc:HGNC:4678]	Gene
ENSG00000049245	VAMP3	VAMP3	vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]	Gene
ENSG00000049246	PER3	PER3	period circadian regulator 3 [Source:HGNC Symbol;Acc:HGNC:8847]	Gene
ENSG00000049247	UTS2	UTS2	urotensin 2 [Source:HGNC Symbol;Acc:HGNC:12636]	Gene
ENSG00000049283	EPN3	EPN3	epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]	Gene
ENSG00000049541	RFC2	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]	Gene
ENSG00000049618	ARID1B	ARID1B	AT-rich interaction domain 1B [Source:HGNC Symbol;Acc:HGNC:18040]	Gene
ENSG00000050327	ARHGEF5	ARHGEF5	Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]	Gene
ENSG00000050393	MCUR1	MCUR1	mitochondrial calcium uniporter regulator 1 [Source:HGNC Symbol;Acc:HGNC:21097]	Gene
ENSG00000050748	MAPK9	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	Gene
ENSG00000050820	BCAR1	BCAR1	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]	Gene
ENSG00000051009	FHIP1B	FHIP1B	FHF complex subunit HOOK interacting protein 1B [Source:HGNC Symbol;Acc:HGNC:25378]	Gene
ENSG00000051108	HERPUD1	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]	Gene
ENSG00000051128	HOMER3	HOMER3	homer scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:17514]	Gene
ENSG00000051180	RAD51	RAD51	RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]	Gene
ENSG00000051523	CYBA	CYBA	cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]	Gene
ENSG00000051596	THOC3	THOC3	THO complex 3 [Source:HGNC Symbol;Acc:HGNC:19072]	Gene
ENSG00000051620	HEBP2	HEBP2	heme binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15716]	Gene
ENSG00000053371	AKR7A2	AKR7A2	aldo-keto reductase family 7 member A2 [Source:HGNC Symbol;Acc:HGNC:389]	Gene
ENSG00000053372	MRTO4	MRTO4	MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]	Gene
ENSG00000053501	USE1	USE1	unconventional SNARE in the ER 1 [Source:HGNC Symbol;Acc:HGNC:30882]	Gene
ENSG00000053770	AP5M1	AP5M1	adaptor related protein complex 5 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:20192]	Gene
ENSG00000053900	ANAPC4	ANAPC4	anaphase promoting complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19990]	Gene
ENSG00000053918	KCNQ1	KCNQ1	potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:6294]	Gene
ENSG00000054116	TRAPPC3	TRAPPC3	trafficking protein particle complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:19942]	Gene
ENSG00000054118	THRAP3	THRAP3	thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964]	Gene
ENSG00000054267	ARID4B	ARID4B	AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]	Gene
ENSG00000054356	PTPRN	PTPRN	protein tyrosine phosphatase receptor type N [Source:HGNC Symbol;Acc:HGNC:9676]	Gene
ENSG00000054803	CBLN4	CBLN4	cerebellin 4 precursor [Source:HGNC Symbol;Acc:HGNC:16231]	Gene
ENSG00000054938	CHRDL2	CHRDL2	chordin like 2 [Source:HGNC Symbol;Acc:HGNC:24168]	Gene
ENSG00000055044	NOP58	NOP58	NOP58 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:29926]	Gene
